"Sygnatura czasowa","Zaw鏚","Wynik_1","Wynik_2","Wynik_3","Wynik_4"
"2020/12/30 5:23:46 PM CET","Po這積a(y)",5,1,3,3
"2020/12/30 5:25:04 PM CET","Po這積a(y)",4,6,2,1
"2020/12/30 5:29:46 PM CET","Po這積a(y)",9,9,4,3
"2020/12/30 5:32:08 PM CET","Po這積a(y)",9,7,3,2
"2020/12/30 5:32:50 PM CET","Po這積a(y)",7,5,3,3
"2020/12/30 5:34:05 PM CET","Po這積a(y)",9,9,4,3
"2020/12/30 5:36:43 PM CET","Po這積a(y)",7,2,3,2
"2020/12/30 5:45:39 PM CET","Po這積a(y)",10,6,5,2
"2020/12/30 5:49:37 PM CET","Po這積a(y)",12,1,7,4
"2020/12/30 5:50:14 PM CET","Po這積a(y)",9,6,3,3
"2020/12/30 5:50:38 PM CET","Fizjoterapeuta",10,4,6,2
"2020/12/30 5:50:53 PM CET","Po這積a(y)",11,4,5,3
"2020/12/30 5:52:05 PM CET","Fizjoterapeuta",4,4,2,2
"2020/12/30 5:52:21 PM CET","Po這積a(y)",6,9,2,3
"2020/12/30 6:01:08 PM CET","Po這積a(y)",8,5,4,4
"2020/12/30 6:04:04 PM CET","Po這積a(y)",10,4,4,3
"2020/12/30 6:04:17 PM CET","Fizjoterapeuta",7,6,4,4
"2020/12/30 6:13:45 PM CET","Po這積a(y)",8,4,3,3
"2020/12/30 6:17:12 PM CET","Fizjoterapeuta",9,7,4,2
"2020/12/30 6:20:02 PM CET","Po這積a(y)",3,2,1,1
"2020/12/30 6:31:24 PM CET","Po這積a(y)",9,8,3,3
"2020/12/30 6:57:15 PM CET","Po這積a(y)",6,3,2,3
"2020/12/30 7:00:19 PM CET","Po這積a(y)",6,8,3,1
"2020/12/30 7:05:36 PM CET","Po這積a(y)",10,3,5,4
"2020/12/30 7:21:38 PM CET","Po這積a(y)",12,4,6,3
"2020/12/30 7:22:26 PM CET","Po這積a(y)",7,8,1,1
"2020/12/30 7:24:34 PM CET","Po這積a(y)",5,2,2,1
"2020/12/30 7:36:52 PM CET","Po這積a(y)",6,5,3,1
"2020/12/30 7:37:18 PM CET","Po這積a(y)",11,0,6,3
"2020/12/30 7:45:08 PM CET","Po這積a(y)",10,3,5,3
"2020/12/30 7:47:44 PM CET","Po這積a(y)",7,3,4,2
"2020/12/30 7:51:50 PM CET","Po這積a(y)",7,6,3,2
"2020/12/30 7:53:11 PM CET","Fizjoterapeuta",6,10,3,2
"2020/12/30 7:57:11 PM CET","Po這積a(y)",5,7,0,2
"2020/12/30 8:07:45 PM CET","Po這積a(y)",9,4,4,3
"2020/12/30 8:15:17 PM CET","Fizjoterapeuta",7,6,4,0
"2020/12/30 8:26:36 PM CET","Po這積a(y)",9,1,4,3
"2020/12/30 8:53:03 PM CET","Fizjoterapeuta",4,14,1,2
"2020/12/30 9:19:36 PM CET","Po這積a(y)",5,4,2,2
"2020/12/30 9:31:39 PM CET","Po這積a(y)",11,3,5,5
"2020/12/30 9:52:45 PM CET","Po這積a(y)",10,2,6,1
"2020/12/30 10:14:00 PM CET","Fizjoterapeuta",7,7,2,2
"2020/12/30 10:22:01 PM CET","Po這積a(y)",8,1,3,4
"2020/12/30 10:32:44 PM CET","Po這積a(y)",8,1,5,3
"2020/12/30 10:45:09 PM CET","Po這積a(y)",9,6,4,3
"2020/12/30 11:25:50 PM CET","Po這積a(y)",6,7,3,1
"2020/12/30 11:27:55 PM CET","Po這積a(y)",2,6,1,1
"2020/12/30 11:36:25 PM CET","Po這積a(y)",9,3,5,3
